# Source: 游戏机制链图谱_283条玩法路径_公开分享版_v1.9_含元素周期表.pdf; author: 六边形老闪（张鹏）
id	family_no	family_name	family_scope	name	formula	explanation	common_examples	representative
H001	1	物换星移	对象、物品与存在生命周期	对象生成	随机选择 → 生成 → 放置	让新对象进入规则世界并取得合法位置。	刷怪、发牌、道具刷新	no
H002	1	物换星移	对象、物品与存在生命周期	战利品拾取	生成 → 放置 → 侦测 → 控制权转移	掉落物进入场景，被接触后转入角色持有。	动作RPG、刷宝游戏	yes
H003	1	物换星移	对象、物品与存在生命周期	消耗品使用	控制权转移 → 行动者选择 → 消耗 → 移除	玩家选择使用已有物品，数量耗尽后退出。	药水、炸弹、一次性卡牌	no
H004	1	物换星移	对象、物品与存在生命周期	库存转移	行动者选择 → 控制权转移 → 放置	物品从一个持有者或容器转到另一个槽位。	背包、仓库、交易栏	no
H005	1	物换星移	对象、物品与存在生命周期	装备穿戴	行动者选择 → 替换 → 连接 → 标量调整	物品进入装备槽，与角色建立关系并改变属性。	RPG装备、武器切换	no
H006	1	物换星移	对象、物品与存在生命周期	装备卸除	行动者选择 → 断开 → 替换 → 标量调整	解除装备关系，恢复槽位与角色原有状态。	卸甲、卸载模块	no
H007	1	物换星移	对象、物品与存在生命周期	主动丢弃	行动者选择 → 控制权转移 → 放置	玩家放弃持有权，让物品重新进入场景。	丢枪、丢包、投放物资	no
H008	1	物换星移	对象、物品与存在生命周期	对象破坏	侦测 → 标量调整 → 锁定 → 移除	对象跨过破坏阈值后失去行动资格并退出。	破箱、摧毁建筑、击碎道具	no
H009	1	物换星移	对象、物品与存在生命周期	对象重生	移除 → 延迟执行 → 生成 → 放置 → 解锁	对象退出后等待，再在合法位置重新进入。	角色复活、资源点刷新	no
H010	1	物换星移	对象、物品与存在生命周期	物品拆分	行动者选择 → 拆分 → 分配	一个整体拆成多份可独立处理的对象。	拆弹药包、拆分筹码	no
H011	1	物换星移	对象、物品与存在生命周期	同类叠加	放置 → 侦测 → 合并 → 标量调整	同类对象进入同一容器后合并为数量记录。	背包堆叠、筹码叠加	no
H012	1	物换星移	对象、物品与存在生命周期	对象变形	侦测 → 转化 → 替换	对象满足条件后改变类型，并由新形态接替职责。	变身、升阶单位、季节形态	no
H013	2	来去自如	移动、空间与运输	直接移动	行动者选择 → 位移	行动者选择目标位置，对象保持身份完成移动。	棋子移动、角色行走	no
H014	2	来去自如	移动、空间与运输	随机步数移动	随机选择 → 标量调整 → 位移	随机结果决定移动距离，再改变对象位置。	双陆棋、大富翁	no
H015	2	来去自如	移动、空间与运输	格点寻路	行动者选择 → 侦测 → 位移 → 放置	选择目标格，检查通路后逐格抵达并落位。	战棋、网格RPG	no
H016	2	来去自如	移动、空间与运输	滑行至阻挡	行动者选择 → 位移 → 侦测 → 锁定	对象持续移动，遇到阻挡后停止。	冰面谜题、滑块游戏	no
H017	2	来去自如	移动、空间与运输	跳跃跨越	行动者选择 → 侦测 → 位移 → 放置	确认起落点与跨越资格后完成跳跃。	跳棋、平台跳跃	no
